Customer Name,Date,Week,Actual Orders,Forecast Orders
HALEON - EU,2023-08-21 00:00:00,34,126,100
HALEON - NA,2023-08-21 00:00:00,34,33,25
INTERNATIONAL PAPER - NA,2023-08-21 00:00:00,34,18,34
JDE - EU,2023-08-21 00:00:00,34,44,20
METAL CONTAINER CORP - NA,2023-08-21 00:00:00,34,21,150
NOVOLEX - NA,2023-08-21 00:00:00,34,39,55
PACKAGING SPECIALTIE - NA,2023-08-21 00:00:00,34,0,70
PEEL PLASTIC PRODUCT - NA,2023-08-21 00:00:00,34,18,50
PROCTER & GAMBLE - EU,2023-08-21 00:00:00,34,210,250
THE FERRERO GROUP - NA,2023-08-21 00:00:00,34,26,90
3M - NA,2023-08-14 00:00:00,33,103,100
BEIERSDORF INCORPORATED - EU,2023-08-14 00:00:00,33,119,150
BROWN FORMAN CORPORATION - NA,2023-08-14 00:00:00,33,140,50
CONAGRA - NA,2023-08-14 00:00:00,33,37,50
DANONE - EU,2023-08-14 00:00:00,33,65,76
HALEON - EU,2023-08-14 00:00:00,33,106,100
HALEON - NA,2023-08-14 00:00:00,33,37,22
INTERNATIONAL PAPER - NA,2023-08-14 00:00:00,33,15,34
JDE - EU,2023-08-14 00:00:00,33,57,30
METAL CONTAINER CORP - NA,2023-08-14 00:00:00,33,25,125
NOVOLEX - NA,2023-08-14 00:00:00,33,44,45
PACKAGING SPECIALTIE - NA,2023-08-14 00:00:00,33,0,70
PEEL PLASTIC PRODUCT - NA,2023-08-14 00:00:00,33,0,41
PROCTER & GAMBLE - EU,2023-08-14 00:00:00,33,145,250
THE FERRERO GROUP - NA,2023-08-14 00:00:00,33,9,85
3M - NA,2023-08-07 00:00:00,32,60,110
BEIERSDORF INCORPORATED - EU,2023-08-07 00:00:00,32,252,150
BROWN FORMAN CORPORATION - NA,2023-08-07 00:00:00,32,104,50
CONAGRA - NA,2023-08-07 00:00:00,32,51,45
DANONE - EU,2023-08-07 00:00:00,32,74,80
HALEON - EU,2023-08-07 00:00:00,32,114,110
HALEON - NA,2023-08-07 00:00:00,32,49,20
INTERNATIONAL PAPER - NA,2023-08-07 00:00:00,32,8,34
JDE - EU,2023-08-07 00:00:00,32,30,45
METAL CONTAINER CORP - NA,2023-08-07 00:00:00,32,27,130
NOVOLEX - NA,2023-08-07 00:00:00,32,47,48
