Customer Name,Date,Orders
ROBERTS MART & CO LTD,2023-10-30 00:00:00,0
ROYAL CANIN,2023-10-30 00:00:00,0
SAICA PACK,2023-10-30 00:00:00,52
SCA HEALTHCARE,2023-10-30 00:00:00,1
SIGNIFY,2023-10-30 00:00:00,109
SIVA PLASTICS,2023-10-30 00:00:00,0
SKYMARK SCUNTHORPE,2023-10-30 00:00:00,0
SMURFIT,2023-10-30 00:00:00,11
ST. JOHN PACKAGING UK LTD.,2023-10-30 00:00:00,3
STARBUCKS COFFEE CO,2023-10-30 00:00:00,16
STEMPHER BV,2023-10-30 00:00:00,0
SYNPAC LIMITED,2023-10-30 00:00:00,0
TAKEDA EU,2023-10-30 00:00:00,11
TETRA PAK,2023-10-30 00:00:00,81
Tevalis Limited,2023-10-30 00:00:00,1
TRANSCONTINENTAL INC.,2023-10-30 00:00:00,0
UFLEX LIMITED,2023-10-30 00:00:00,0
ULTIMATE PACKAGING LTD,2023-10-30 00:00:00,0
UNILEVER,2023-10-30 00:00:00,4
WAITROSE LIMITED,2023-10-30 00:00:00,40
WELL,2023-10-30 00:00:00,11
WM MORRISON SUPERMARKETS PLC,2023-10-30 00:00:00,24
2 SISTERS FOOD GROUP,2023-10-23 00:00:00,0
3M,2023-10-23 00:00:00,17
AIMIA FOODS LTD,2023-10-23 00:00:00,0
ALLIED BAKERIES,2023-10-23 00:00:00,10
AMCOR,2023-10-23 00:00:00,19
ARROW FILM CONVERTORS LTD,2023-10-23 00:00:00,0
ASPLA,2023-10-23 00:00:00,0
ASTRA ZENECA,2023-10-23 00:00:00,85
ATTINDAS,2023-10-23 00:00:00,0
BEIERSDORF INCORPORATED,2023-10-23 00:00:00,210
BEMIS ELSHAM LTD,2023-10-23 00:00:00,1
BISCHOF & KLEIN,2023-10-23 00:00:00,0
BORAN MOPACK,2023-10-23 00:00:00,0
BORAN PLASTIC PACKAGING LTD,2023-10-23 00:00:00,0
BRAYFORD PLASTICS LTD,2023-10-23 00:00:00,0
BRITISH POLYTHENE IND PLC,2023-10-23 00:00:00,6
CARAMBAR & CO SAS,2023-10-23 00:00:00,4
COCA COLA,2023-10-23 00:00:00,133
Covis Pharma GmbH,2023-10-23 00:00:00,1
DANONE,2023-10-23 00:00:00,80
DS SMITH,2023-10-23 00:00:00,0
ELIF PLASTIK AMBALAJ SANAYI,2023-10-23 00:00:00,0
EMERGENT,2023-10-23 00:00:00,0
EMSUR MADRID,2023-10-23 00:00:00,0
EUGENE PERMA,2023-10-23 00:00:00,0
EUROFLEX,2023-10-23 00:00:00,0
Euroscatola,2023-10-23 00:00:00,0
EVERGREEN,2023-10-23 00:00:00,78
EVERRIS LIMITED,2023-10-23 00:00:00,3
EYEVANCE PHARMACEUTICALS,2023-10-23 00:00:00,0
FLEXOPLAST,2023-10-23 00:00:00,0
FOUR04 PACKAGING LTD,2023-10-23 00:00:00,0
FRANPRIX,2023-10-23 00:00:00,0
FRIGEMO,2023-10-23 00:00:00,0
Froneri,2023-10-23 00:00:00,14
GBFOODS,2023-10-23 00:00:00,12
GLACES THIRIET,2023-10-23 00:00:00,1
GREEN ISLE FOODS,2023-10-23 00:00:00,0
HALEON,2023-10-23 00:00:00,199
Herta,2023-10-23 00:00:00,2
HEWLETT PACKARD,2023-10-23 00:00:00,0
Horizon Pharma Ireland Ltd,2023-10-23 00:00:00,1
HOVIS LTD,2023-10-23 00:00:00,1
INTERFLEX GROUP INC,2023-10-23 00:00:00,0
IRISH FLEXIBLE PACKAGING LTD,2023-10-23 00:00:00,0
JDE,2023-10-23 00:00:00,58
KELLOGG COMPANY,2023-10-23 00:00:00,43
KERRY INC,2023-10-23 00:00:00,0
KIBAR GROUP,2023-10-23 00:00:00,0
LACTALIS,2023-10-23 00:00:00,25
LOREAL,2023-10-23 00:00:00,0
LVMH,2023-10-23 00:00:00,17
MACKLE PET FOODS,2023-10-23 00:00:00,0
"MARS, INC.",2023-10-23 00:00:00,238
MAZDA,2023-10-23 00:00:00,0
MCCAIN FOODS,2023-10-23 00:00:00,13
MERCADONA,2023-10-23 00:00:00,2
MILLER/COORS,2023-10-23 00:00:00,1
"ModernaTX, Inc.",2023-10-23 00:00:00,16
MONDELEZ,2023-10-23 00:00:00,142
MONDI PACKAGING,2023-10-23 00:00:00,0
MOUSLINE,2023-10-23 00:00:00,1
NATIONAL PKG CORPORATION LTD,2023-10-23 00:00:00,0
NESTLE,2023-10-23 00:00:00,172
NISSAN,2023-10-23 00:00:00,0
ORKLA,2023-10-23 00:00:00,39
PAPERWORKS INDUSTRIES,2023-10-23 00:00:00,0
Papier-Mettler,2023-10-23 00:00:00,0
PAUL PAULET,2023-10-23 00:00:00,16
PEPSICO,2023-10-23 00:00:00,0
PHILIPS,2023-10-23 00:00:00,30
