Customer Name,Date,S&OP Forecast
CONAGRA - NA,2022-12-26 00:00:00,40
DANONE - EU,2022-12-26 00:00:00,48
HALEON - EU,2022-12-26 00:00:00,45
HALEON - NA,2022-12-26 00:00:00,18
INTERNATIONAL PAPER - NA,2022-12-26 00:00:00,41
JDE - EU,2022-12-26 00:00:00,30
METAL CONTAINER CORP - NA,2022-12-26 00:00:00,80
NOVOLEX - NA,2022-12-26 00:00:00,28
PACKAGING SPECIALTIE - NA,2022-12-26 00:00:00,20
PEEL PLASTIC PRODUCT - NA,2022-12-26 00:00:00,0
PROCTER & GAMBLE - EU,2022-12-26 00:00:00,245
THE FERRERO GROUP - NA,2022-12-26 00:00:00,15
3M - NA,2023-01-02 00:00:00,90
BROWN FORMAN CORPORATION - NA,2023-01-02 00:00:00,5
CONAGRA - NA,2023-01-02 00:00:00,25
DANONE - EU,2023-01-02 00:00:00,66
HALEON - EU,2023-01-02 00:00:00,45
HALEON - NA,2023-01-02 00:00:00,30
INTERNATIONAL PAPER - NA,2023-01-02 00:00:00,46
JDE - EU,2023-01-02 00:00:00,20
METAL CONTAINER CORP - NA,2023-01-02 00:00:00,115
NOVOLEX - NA,2023-01-02 00:00:00,29
PACKAGING SPECIALTIE - NA,2023-01-02 00:00:00,50
PEEL PLASTIC PRODUCT - NA,2023-01-02 00:00:00,40
PROCTER & GAMBLE - EU,2023-01-02 00:00:00,318
THE FERRERO GROUP - NA,2023-01-02 00:00:00,15
3M - NA,2023-01-09 00:00:00,180
BROWN FORMAN CORPORATION - NA,2023-01-09 00:00:00,5
CONAGRA - NA,2023-01-09 00:00:00,30
DANONE - EU,2023-01-09 00:00:00,69
HALEON - EU,2023-01-09 00:00:00,90
HALEON - NA,2023-01-09 00:00:00,52
INTERNATIONAL PAPER - NA,2023-01-09 00:00:00,46
JDE - EU,2023-01-09 00:00:00,20
METAL CONTAINER CORP - NA,2023-01-09 00:00:00,125
NOVOLEX - NA,2023-01-09 00:00:00,35
PACKAGING SPECIALTIE - NA,2023-01-09 00:00:00,60
PEEL PLASTIC PRODUCT - NA,2023-01-09 00:00:00,60
PROCTER & GAMBLE - EU,2023-01-09 00:00:00,413
THE FERRERO GROUP - NA,2023-01-09 00:00:00,40
3M - NA,2023-01-16 00:00:00,200
BROWN FORMAN CORPORATION - NA,2023-01-16 00:00:00,5
